

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 1 | start time: 0.00 ms | finish: 10.42
run 2 | start time: 10.42 ms | finish: 23.63
run 3 | start time: 23.63 ms | finish: 36.53
run 4 | start time: 36.53 ms | finish: 47.32
run 5 | start time: 47.32 ms | finish: 53.35
run 6 | start time: 53.35 ms | finish: 59.12
run 7 | start time: 59.12 ms | finish: 64.84
run 8 | start time: 64.84 ms | finish: 70.54
run 9 | start time: 70.54 ms | finish: 76.28
run 10 | start time: 76.28 ms | finish: 82.03
run 11 | start time: 82.03 ms | finish: 87.76
run 12 | start time: 87.76 ms | finish: 93.41
run 13 | start time: 93.41 ms | finish: 99.19
run 14 | start time: 99.19 ms | finish: 104.91
run 15 | start time: 104.91 ms | finish: 110.55
run 16 | start time: 110.55 ms | finish: 116.28
run 17 | start time: 116.28 ms | finish: 124.63
run 18 | start time: 124.63 ms | finish: 134.82
run 19 | start time: 134.82 ms | finish: 144.81
run 20 | start time: 144.81 ms | finish: 155.07
run 21 | start time: 155.07 ms | finish: 165.36
run 22 | start time: 165.36 ms | finish: 175.70
run 23 | start time: 175.70 ms | finish: 185.96
run 24 | start time: 185.96 ms | finish: 196.31
run 25 | start time: 196.31 ms | finish: 206.72
run 26 | start time: 206.72 ms | finish: 217.09
run 27 | start time: 217.09 ms | finish: 227.46
run 28 | start time: 227.46 ms | finish: 237.84
run 29 | start time: 237.84 ms | finish: 248.21
run 30 | start time: 248.21 ms | finish: 259.69
run 31 | start time: 259.69 ms | finish: 270.09
run 32 | start time: 270.09 ms | finish: 280.45
run 33 | start time: 280.45 ms | finish: 290.87
run 34 | start time: 290.87 ms | finish: 301.15
run 35 | start time: 301.15 ms | finish: 311.47
run 36 | start time: 311.47 ms | finish: 321.80
run 37 | start time: 321.80 ms | finish: 332.06
run 38 | start time: 332.06 ms | finish: 342.60
run 39 | start time: 342.60 ms | finish: 353.11
run 40 | start time: 353.11 ms | finish: 363.48
run 41 | start time: 363.48 ms | finish: 373.81
run 42 | start time: 373.81 ms | finish: 384.12
run 43 | start time: 384.12 ms | finish: 394.49
run 44 | start time: 394.49 ms | finish: 404.76
run 45 | start time: 404.76 ms | finish: 415.12
run 46 | start time: 415.12 ms | finish: 425.57
run 47 | start time: 425.57 ms | finish: 436.01
run 48 | start time: 436.01 ms | finish: 446.38
run 49 | start time: 446.38 ms | finish: 457.08
run 50 | start time: 457.08 ms | finish: 467.60
run 51 | start time: 467.60 ms | finish: 478.04
run 52 | start time: 478.04 ms | finish: 488.40
run 53 | start time: 488.40 ms | finish: 498.81
run 54 | start time: 498.81 ms | finish: 509.08
run 55 | start time: 509.08 ms | finish: 519.37
run 56 | start time: 519.37 ms | finish: 529.64
run 57 | start time: 529.64 ms | finish: 539.94
run 58 | start time: 539.94 ms | finish: 550.21
run 59 | start time: 550.21 ms | finish: 560.54
run 60 | start time: 560.54 ms | finish: 570.91
run 61 | start time: 570.91 ms | finish: 581.20
run 62 | start time: 581.20 ms | finish: 591.57
run 63 | start time: 591.57 ms | finish: 601.90
run 64 | start time: 601.90 ms | finish: 612.22
run 65 | start time: 612.22 ms | finish: 628.12
run 66 | start time: 628.12 ms | finish: 639.17
run 67 | start time: 639.17 ms | finish: 650.76
run 68 | start time: 650.76 ms | finish: 661.98
run 69 | start time: 661.98 ms | finish: 672.01
run 70 | start time: 672.01 ms | finish: 682.17
run 71 | start time: 682.17 ms | finish: 692.49
run 72 | start time: 692.49 ms | finish: 702.86
run 73 | start time: 702.86 ms | finish: 713.15
run 74 | start time: 713.15 ms | finish: 723.54
run 75 | start time: 723.54 ms | finish: 733.82
run 76 | start time: 733.82 ms | finish: 744.11
run 77 | start time: 744.11 ms | finish: 754.35
run 78 | start time: 754.35 ms | finish: 764.65
